particle,pdg_name,mass_GeV,err_plus_GeV,err_minus_GeV
up quark,u,0.00216,7.000000000000001e-05,7.000000000000001e-05
down quark,d,0.0047,7.000000000000001e-05,7.000000000000001e-05
strange quark,s,0.0935,0.0008,0.0008
charm quark,c,1.273,0.0046,0.0046
bottom quark,b,4.183,0.007,0.007
top quark,t,172.5590883453979,0.3040826988999338,0.3061998752861254
electron,e-,0.0005109989499999999,1.6e-14,1.6e-14
muon,mu-,0.1056583755,2.5e-09,2.5e-09
tau,tau-,1.77693246513409,0.08491495391323055,0.08758019173411406
W boson,W+,80.377,0.012,0.012
Z boson,Z0,91.18797809193725,0.002013761937203607,0.002013761937203607
Higgs boson,H,125.1995304097179,0.1148838236816068,0.1148838236816068
proton,p,0.93827208816,5.3e-11,5.3e-11
neutron,n,0.93956542052,4.9e-10,4.9e-10
pion (charged),pi+,0.13957039098368132,0.0001820071604082601,0.0001820071604082601
pion (neutral),pi0,0.13497682776768472,4.856792822842335e-07,4.856792822842335e-07
kaon (charged),K+,0.4936765994580406,0.01540566522607151,0.01540566522607151
kaon (neutral),K0,0.4976107675312575,0.0129901997564242,0.0129901997564242
Lambda,3122,1.115683138712051,0.006437637778621987,0.006437637778621987
